,time,time exp,L_bol_BPASS,kappa_av_RP_Sil,kappa_av_F_Sil,L_Edd_Sil,kappa_av_RP_SiC,kappa_av_F_SiC,L_Edd_SiC,kappa_av_RP_Gra,kappa_av_F_Gra,L_Edd_Gra,Mass
0,6.0,1000000.0,1434444049.1652508,79318.9881507777,79318.9881507777,16.37691087953274,79318.9881507777,79318.9881507777,16.37691087953274,79318.9881507777,79318.9881507777,16.37691087953274,1000000.0007200831
1,6.1,1258925.411794166,1475206489.5686917,79318.9881499662,79318.9881499662,16.37691087970029,79318.9881499662,79318.9881499662,16.37691087970029,79318.9881499662,79318.9881499662,16.37691087970029,999063.8307200831
2,6.2,1584893.1924611141,1432733470.9646986,79318.98814964578,79318.98814964578,16.37691087976645,79318.98814964578,79318.98814964578,16.37691087976645,79318.98814964578,79318.98814964578,16.37691087976645,995590.6407200831
3,6.3,1995262.3149688789,1324465620.4579816,79318.98814890733,79318.98814890733,16.376910879918917,79318.98814890733,79318.98814890733,16.376910879918917,79318.98814890733,79318.98814890733,16.376910879918917,989451.6607200832
4,6.4,2511886.4315095823,1139349383.4029644,79318.98814744034,79318.98814744034,16.376910880221804,79318.98814744034,79318.98814744034,16.376910880221804,79318.98814744034,79318.98814744034,16.376910880221804,978838.9424290252
5,6.5,3162277.6601683795,922443114.9891881,79318.9881450663,79318.9881450663,16.37691088071197,79318.9881450663,79318.9881450663,16.37691088071197,79318.9881450663,79318.9881450663,16.37691088071197,966652.4866
6,6.6,3981071.7055349695,647001255.7674546,79318.98813594578,79318.98813594578,16.376910882595073,79318.98813594578,79318.98813594578,16.376910882595073,79318.98813594578,79318.98813594578,16.376910882595073,951659.2431
7,6.7,5011872.336272725,460662481.7840297,79318.9880835065,79318.9880835065,16.37691089342216,79318.9880835065,79318.9880835065,16.37691089342216,79318.9880835065,79318.9880835065,16.37691089342216,934670.0541000001
8,6.8,6309573.44480193,330862499.9765223,79318.98796823644,79318.98796823644,16.37691091722185,79318.98796823644,79318.98796823644,16.37691091722185,79318.98796823644,79318.98796823644,16.37691091722185,919045.478
9,6.9,7943282.347242822,244533861.29090843,79318.9877725385,79318.9877725385,16.376910957627405,79318.9877725385,79318.9877725385,16.376910957627405,79318.9877725385,79318.9877725385,16.376910957627405,904473.525
10,7.0,10000000.0,166653100.23657706,79318.9877762192,79318.9877762192,16.376910956867455,79318.9877762192,79318.9877762192,16.376910956867455,79318.9877762192,79318.9877762192,16.376910956867455,889923.2797
11,7.1,12589254.117941663,115559909.18626659,79318.98780021483,79318.98780021483,16.3769109519131,79318.98780021483,79318.98780021483,16.3769109519131,79318.98780021483,79318.98780021483,16.3769109519131,876663.6306
12,7.2,15848931.924611142,81699349.62383555,79318.98785047437,79318.98785047437,16.376910941536067,79318.98785047437,79318.98785047437,16.376910941536067,79318.98785047437,79318.98785047437,16.376910941536067,863358.442
13,7.3,19952623.149688788,62434632.1927027,79318.98783281064,79318.98783281064,16.376910945183077,79318.98783281064,79318.98783281064,16.376910945183077,79318.98783281064,79318.98783281064,16.376910945183077,852415.16
14,7.4,25118864.315095823,48687082.48332786,79318.98790766118,79318.98790766118,16.376910929728762,79318.98790766118,79318.98790766118,16.376910929728762,79318.98790766118,79318.98790766118,16.376910929728762,846490.038
15,7.5,31622776.60168379,39089973.71209465,79318.98787115978,79318.98787115978,16.37691093726517,79318.98787115978,79318.98787115978,16.37691093726517,79318.98787115978,79318.98787115978,16.37691093726517,834736.0750000001
16,7.6,39810717.05534969,30989874.962456405,79318.98785220187,79318.98785220187,16.37691094117939,79318.98785220187,79318.98785220187,16.37691094117939,79318.98785220187,79318.98785220187,16.37691094117939,825949.784
17,7.7,50118723.36272725,25927817.548902906,79318.98768036519,79318.98768036519,16.376910976658337,79318.98768036519,79318.98768036519,16.376910976658337,79318.98768036519,79318.98768036519,16.376910976658337,815807.661
18,7.8,63095734.448019296,22044379.24965376,79318.98745443393,79318.98745443393,16.376911023306135,79318.98745443393,79318.98745443393,16.376911023306135,79318.98745443393,79318.98745443393,16.376911023306135,806231.797
19,7.9,79432823.47242822,17065855.388765164,79318.98754420127,79318.98754420127,16.376911004771962,79318.98754420127,79318.98754420127,16.376911004771962,79318.98754420127,79318.98754420127,16.376911004771962,795287.626
20,8.0,100000000.0,14964361.017094107,79318.98733241041,79318.98733241041,16.376911048500205,79318.98733241041,79318.98733241041,16.376911048500205,79318.98733241041,79318.98733241041,16.376911048500205,785413.592
21,8.1,125892541.17941661,12930751.439297087,79318.98712226303,79318.98712226303,16.376911091889124,79318.98712226303,79318.98712226303,16.376911091889124,79318.98712226303,79318.98712226303,16.376911091889124,776038.606
22,8.2,158489319.2461111,9895939.02503683,79318.98715353812,79318.98715353812,16.376911085431786,79318.98715353812,79318.98715353812,16.376911085431786,79318.98715353812,79318.98715353812,16.376911085431786,763698.658
23,8.3,199526231.49688828,8791939.296009421,79318.9868555299,79318.9868555299,16.37691114696124,79318.9868555299,79318.9868555299,16.37691114696124,79318.9868555299,79318.9868555299,16.37691114696124,754310.83
24,8.4,251188643.1509582,6119657.631405047,79318.98704642878,79318.98704642878,16.376911107546544,79318.98704642878,79318.98704642878,16.376911107546544,79318.98704642878,79318.98704642878,16.376911107546544,740364.618
25,8.5,316227766.01683795,5104910.7945101345,79318.98684478246,79318.98684478246,16.37691114918026,79318.98684478246,79318.98684478246,16.37691114918026,79318.98684478246,79318.98684478246,16.37691114918026,731285.806
26,8.6,398107170.5534969,4283220.098237603,79318.98681182398,79318.98681182398,16.376911155985162,79318.98681182398,79318.98681182398,16.376911155985162,79318.98681182398,79318.98681182398,16.376911155985162,721524.057
27,8.7,501187233.6272715,4583161.471078047,79318.98646462992,79318.98646462992,16.376911227669968,79318.98646462992,79318.98646462992,16.376911227669968,79318.98646462992,79318.98646462992,16.376911227669968,713204.968
28,8.8,630957344.4801943,4251490.355791582,79318.98637530566,79318.98637530566,16.37691124611266,79318.98637530566,79318.98637530566,16.37691124611266,79318.98637530566,79318.98637530566,16.37691124611266,702884.996
29,8.9,794328234.7242821,3713666.9621227575,79318.98625614683,79318.98625614683,16.37691127071526,79318.98625614683,79318.98625614683,16.37691127071526,79318.98625614683,79318.98625614683,16.37691127071526,692278.897
30,9.0,1000000000.0,2702732.541334153,79318.98633220856,79318.98633220856,16.376911255010874,79318.98633220856,79318.98633220856,16.376911255010874,79318.98633220856,79318.98633220856,16.376911255010874,680556.602
31,9.1,1258925411.794166,1794225.2025123374,79318.98659070463,79318.98659070463,16.376911201639448,79318.98659070463,79318.98659070463,16.376911201639448,79318.98659070463,79318.98659070463,16.376911201639448,670928.045
32,9.2,1584893192.4611108,1309272.7746401157,79318.98674352923,79318.98674352923,16.376911170085908,79318.98674352923,79318.98674352923,16.376911170085908,79318.98674352923,79318.98674352923,16.376911170085908,658894.8150000001
33,9.3,1995262314.9688828,1282762.51518676,79318.9863429905,79318.9863429905,16.376911252784737,79318.9863429905,79318.9863429905,16.376911252784737,79318.9863429905,79318.9863429905,16.376911252784737,635485.6329999999
34,9.4,2511886431.509582,980513.0575087434,79318.98639912327,79318.98639912327,16.37691124119506,79318.98639912327,79318.98639912327,16.37691124119506,79318.98639912327,79318.98639912327,16.37691124119506,620659.008
35,9.5,3162277660.1683793,796968.43837443,79318.98632608989,79318.98632608989,16.37691125627419,79318.98632608989,79318.98632608989,16.37691125627419,79318.98632608989,79318.98632608989,16.37691125627419,605568.1460000001
36,9.6,3981071705.5349693,629625.9209014348,79318.98631059093,79318.98631059093,16.37691125947424,79318.98631059093,79318.98631059093,16.37691125947424,79318.98631059093,79318.98631059093,16.37691125947424,589950.118
37,9.7,5011872336.272715,487790.7689515977,79318.9862889546,79318.9862889546,16.376911263941473,79318.9862889546,79318.9862889546,16.376911263941473,79318.9862889546,79318.9862889546,16.376911263941473,574060.067
38,9.8,6309573444.801943,370412.9201302149,79318.98631694935,79318.98631694935,16.376911258161428,79318.98631694935,79318.98631694935,16.376911258161428,79318.98631694935,79318.98631694935,16.376911258161428,559663.276
39,9.9,7943282347.242822,326096.6791235224,79318.98629493857,79318.98629493857,16.37691126270597,79318.98629493857,79318.98629493857,16.37691126270597,79318.98629493857,79318.98629493857,16.37691126270597,548114.104
40,10.0,10000000000.0,190318.20437350686,79318.98642676466,79318.98642676466,16.37691123548797,79318.98642676466,79318.98642676466,16.37691123548797,79318.98642676466,79318.98642676466,16.37691123548797,535231.976
41,10.1,12589254117.941662,210641.50141643427,79318.98623161431,79318.98623161431,16.376911275780465,79318.98623161431,79318.98623161431,16.376911275780465,79318.98623161431,79318.98623161431,16.376911275780465,530787.43
42,10.2,15848931924.611109,135597.10806609972,79318.98636489722,79318.98636489722,16.376911248261678,79318.98636489722,79318.98636489722,16.376911248261678,79318.98636489722,79318.98636489722,16.376911248261678,519055.858
43,10.3,19952623149.688828,159333.41768859004,79318.98609657626,79318.98609657626,16.376911303661636,79318.98609657626,79318.98609657626,16.376911303661636,79318.98609657626,79318.98609657626,16.376911303661636,516964.459
44,10.4,25118864315.09582,100865.96547161655,79318.98648326812,79318.98648326812,16.376911223821757,79318.98648326812,79318.98648326812,16.376911223821757,79318.98648326812,79318.98648326812,16.376911223821757,503314.964
45,10.5,31622776601.683792,127989.13797961856,79318.985931283,79318.985931283,16.376911337789572,79318.985931283,79318.985931283,16.376911337789572,79318.985931283,79318.985931283,16.376911337789572,499257.139
46,10.6,39810717055.34969,52651.73722443466,79318.98615228782,79318.98615228782,16.376911292158926,79318.98615228782,79318.98615228782,16.376911292158926,79318.98615228782,79318.98615228782,16.376911292158926,470978.487
47,10.7,50118723362.72715,49946.35217631395,79318.98613844001,79318.98613844001,16.37691129501807,79318.98613844001,79318.98613844001,16.37691129501807,79318.98613844001,79318.98613844001,16.37691129501807,468470.1
48,10.8,63095734448.019424,48305.51710582991,79318.9861697071,79318.9861697071,16.376911288562386,79318.9861697071,79318.9861697071,16.376911288562386,79318.9861697071,79318.9861697071,16.376911288562386,467357.978
49,10.9,79432823472.42822,80943.71585616111,79318.98599923038,79318.98599923038,16.37691132376054,79318.98599923038,79318.98599923038,16.37691132376054,79318.98599923038,79318.98599923038,16.37691132376054,483675.463
50,11.0,100000000000.0,13074.10881701094,79318.98620351935,79318.98620351935,16.376911281581204,79318.98620351935,79318.98620351935,16.376911281581204,79318.98620351935,79318.98620351935,16.376911281581204,1078378.18
